Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
Olaga hot (5 §);19 775;664;523;466;454;459;470;1 856;2 460;5 082;3 677;2 293;1 308;63;2 977;16 794;4
Mot barn under 18 år;2 775;456;311;207;153;121;59;163;159;428;426;204;78;10;553;2 221;1
Mot flicka under 18 år;1 242;173;114;92;79;62;30;96;70;198;213;81;30;4;378;864;- 
Internetrelaterat;208;49;35;22;22;12;9;25;12;7;6;7;2;- ;57;151;- 
Ej internetrelaterat;1 070;130;85;77;62;53;21;75;58;193;208;75;29;4;332;738;- 
Mot pojke under 18 år;1 651;295;214;122;76;65;31;72;94;253;240;131;52;6;196;1 454;1
Internetrelaterat;168;54;37;21;10;6;7;9;4;9;3;8;- ;- ;19;149;- 
Ej internetrelaterat;1 509;249;184;102;69;59;26;65;90;246;237;124;52;6;181;1 327;1
Mot kvinna 18 år eller äldre;9 809;101;100;108;143;152;190;875;1 343;2 869;1 994;1 199;711;24;1 311;8 497;1
Närstående genom parrelation;4 830;2;3;7;15;29;62;370;694;1 641;1 105;593;302;7;62;4 768;- 
Internetrelaterat;623;- ;- ;3;6;4;9;65;103;205;142;55;30;1;14;609;- 
Ej internetrelaterat;4 424;2;3;5;10;28;55;331;627;1 514;1 008;552;283;6;51;4 373;- 
Närstående genom släktskap/familj;1 415;29;23;35;25;39;36;139;203;369;247;165;99;6;240;1 175;- 
Internetrelaterat;149;1;1;2;2;3;5;9;26;42;30;19;9;- ;25;124;- 
Ej internetrelaterat;1 300;29;23;34;23;36;33;133;187;333;221;150;92;6;223;1 077;- 
Annan sorts relation eller bekantskap;2 559;42;38;44;56;56;54;263;342;693;462;302;200;7;690;1 869;- 
Internetrelaterat;458;5;4;8;10;11;16;52;56;147;79;45;22;3;128;330;- 
Ej internetrelaterat;2 162;37;34;37;48;46;40;216;295;565;392;264;184;4;575;1 587;- 
Obekanta;1 724;31;40;24;52;38;49;172;206;422;316;214;156;4;395;1 328;1
Internetrelaterat;258;7;5;4;11;3;10;33;34;71;41;27;12;- ;54;204;- 
Ej internetrelaterat;1 487;24;35;23;42;35;40;140;173;357;278;190;146;4;343;1 143;1
Mot man 18 år eller äldre;8 590;108;136;174;205;219;248;978;1 172;2 217;1 548;1 013;546;26;1 269;7 319;2
Närstående genom parrelation;692;3;2;5;6;6;11;53;106;243;147;76;34;- ;593;99;- 
Internetrelaterat;88;2;- ;2;3;3;2;7;13;27;17;8;4;- ;77;11;- 
Ej internetrelaterat;617;1;2;3;4;3;9;48;96;221;131;68;31;- ;529;88;- 
Närstående genom släktskap/familj;911;13;18;23;25;21;25;85;119;226;159;121;73;3;116;795;- 
Internetrelaterat;85;- ;1;3;- ;1;- ;6;17;17;22;11;7;- ;11;74;- 
Ej internetrelaterat;839;13;18;20;25;21;25;81;103;213;137;112;68;3;106;733;- 
Annan sorts relation eller bekantskap;3 793;35;38;58;74;94;109;441;519;994;714;464;241;12;374;3 419;- 
Internetrelaterat;427;3;7;7;14;12;17;47;47;117;74;53;26;3;49;378;- 
Ej internetrelaterat;3 447;33;32;51;62;84;95;400;484;901;653;422;221;9;331;3 116;- 
Obekanta;3 534;59;79;91;102;107;118;434;492;871;580;378;212;11;218;3 314;2
Internetrelaterat;309;3;6;12;8;12;6;32;38;87;39;38;25;3;20;289;- 
Ej internetrelaterat;3 264;57;73;81;96;95;112;404;460;797;549;343;189;8;200;3 062;2
Mot grupp;1 340;53;32;42;37;39;26;134;187;308;233;154;91;4;179;1 161;- 
Internetrelaterat;192;15;7;11;4;4;1;14;32;46;28;22;7;1;21;171;- 
Ej internetrelaterat;1 168;39;25;33;33;35;25;123;156;270;208;133;85;3;159;1 009;- 
Hemfridsbrott, olaga intrång (6 §);4 378;151;169;149;135;122;104;427;513;1 096;765;468;269;10;909;3 466;3
Kränkande fotografering (6 a §);406;26;24;15;17;12;23;51;44;83;52;40;18;1;28;378;- 
Olovlig identitetsanvändning (6 b §);1 180;14;13;26;36;43;43;169;217;330;166;92;28;3;320;860;- 
Mot barn under 18 år;28;3;5;7;4;2;1;- ;4;- ;1;- ;1;- ;6;22;- 
Mot flicka under 18 år;19;2;4;5;3;1;1;- ;3;- ;- ;- ;- ;- ;4;15;- 
Mot pojke under 18 år;9;1;1;2;1;1;- ;- ;1;- ;1;- ;1;- ;2;7;- 
Mot kvinna 18 år eller äldre;584;4;1;5;14;22;19;80;108;181;80;47;21;2;180;404;- 
Mot man 18 år eller äldre;622;8;7;15;20;21;25;101;114;169;87;47;7;1;145;477;- 
Olaga integritetsintrång (6 c, 6 d §);606;81;67;29;32;21;31;66;62;103;60;34;13;7;95;506;5
Mot barn under 18 år;247;77;57;25;22;13;12;20;3;7;3;2;2;4;37;206;4
Mot flicka under 18 år;210;67;46;21;19;12;10;19;3;6;2;2;1;2;29;179;2
Mot pojke under 18 år;38;10;11;5;3;1;2;1;- ;1;1;- ;1;2;8;28;2
Mot kvinna 18 år eller äldre;304;1;9;3;7;8;12;41;52;84;50;25;9;3;29;274;1
Närstående genom parrelation;157;- ;1;- ;- ;3;4;23;25;46;33;14;6;2;- ;157;- 
Närstående genom släktskap/familj;14;- ;1;- ;- ;1;- ;- ;3;3;5;1;- ;- ;- ;14;- 
Annan sorts relation eller bekantskap;97;- ;5;1;4;3;6;17;16;28;9;6;2;- ;23;74;- 
Obekanta;33;1;2;2;3;1;1;2;7;6;3;3;1;1;7;25;1
Mot man 18 år eller äldre;71;3;3;2;4;1;8;5;8;14;9;12;2;- ;30;41;- 
Närstående genom parrelation;16;1;- ;- ;1;- ;1;- ;3;4;3;2;1;- ;14;2;- 
Närstående genom släktskap/familj;5;- ;- ;- ;- ;- ;- ;- ;- ;2;3;- ;- ;- ;3;2;- 
Annan sorts relation eller bekantskap;22;- ;- ;- ;- ;1;4;2;4;5;1;5;- ;- ;9;13;- 
Obekanta;25;2;3;2;3;- ;3;3;1;3;1;3;1;- ;3;22;- 
Ofredande (7 §);12 035;350;225;188;185;172;223;834;1 299;3 070;2 459;1 754;1 258;18;2 776;9 255;4
Mot barn under 18 år;1 649;199;114;72;62;33;23;71;90;336;351;181;113;4;414;1 234;1
Mot flicka under 18 år;977;98;65;46;44;20;15;60;56;185;218;97;70;3;282;695;- 
Mot pojke under 18 år;730;104;53;27;19;13;8;14;35;165;155;87;49;1;150;579;1
Mot kvinna 18 år eller äldre;7 287;58;51;56;74;76;142;520;895;2 020;1 547;1 089;752;7;1 275;6 009;3
Närstående genom parrelation;3 148;1;2;4;15;20;40;203;451;1 070;768;421;152;1;46;3 099;3
Närstående genom släktskap/familj;617;5;6;5;4;11;13;44;61;143;125;112;87;1;150;467;- 
Annan sorts relation eller bekantskap;2 084;23;19;23;21;28;43;158;239;496;423;332;278;1;615;1 469;- 
Obekanta;1 784;30;23;25;31;21;50;137;189;416;318;272;268;4;517;1 267;- 
Mot man 18 år eller äldre;3 348;67;54;61;55;66;59;283;368;795;643;504;387;6;1 121;2 227;- 
Närstående genom parrelation;473;- ;1;5;5;4;7;33;72;161;116;52;16;1;428;45;- 
Närstående genom släktskap/familj;267;7;1;2;3;3;2;18;21;64;42;57;47;- ;96;171;- 
Annan sorts relation eller bekantskap;1 126;19;15;15;18;19;20;84;108;247;237;179;165;- ;310;816;- 
Obekanta;1 565;42;38;40;30;41;31;155;181;343;259;230;170;5;331;1 234;- 
