Brottstyp;Samtliga;15;16;17;18;19;20;  21-24;  25-29;  30-39;  40-49;  50-59;  60-;  Ålder okänd;Kvinnor;Män; Kön okänt
Vapensmuggling, olovlig in- och utförsel (6 a, 7 §);54;2;- ;1;- ;1;- ;4;7;22;9;5;3;- ;3;48;3
Smuggling av explosiv vara, olovlig in- och utförsel (6 b, 7 §);18;6;1;2;1;- ;- ;- ;- ;3;1;4;- ;- ;- ;18;- 
Tullbrott och vårdslös tullredovisning (8-11, 14 §);111;- ;- ;- ;1;1;2;2;11;23;35;25;11;- ;20;88;3
Olovlig befattning med smuggelgods (12-14 §);188;- ;1;- ;3;5;3;18;12;40;49;38;19;- ;29;159;- 
Lagen om punktskattekontroll (5 kap. 1, 1 a-c §);241;- ;- ;- ;2;7;2;11;24;60;65;51;18;1;27;209;5
Lagen om kontroll av narkotika (13 §);- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Alkohollagen (11 kap.);476;8;12;13;37;22;22;66;33;75;76;63;48;1;53;422;1
Olovlig befattning med sprit genom tillverkning, inkl. grov (1 § 1 p., 2 , 4 §);69;- ;- ;- ;- ;- ;- ;6;3;14;18;17;11;- ;6;63;- 
Olovlig befattning med olovligt tillverkad sprit genom förvärv, innehav m.m. (1 § 2 p., 4 §);83;2;2;2;10;3;- ;10;6;11;12;14;11;- ;10;73;- 
Olovlig försäljning av alkohol inkl. grov, olovligt innehav av alkohol (3, 4, 6 §);188;5;5;7;15;8;4;18;16;26;34;29;21;- ;19;169;- 
Olovlig vin- och öltillverkning m.m. (5 §);12;- ;- ;- ;- ;- ;- ;1;- ;2;1;4;4;- ;2;10;- 
Olovligt anskaffande av alkohol, olovlig hantering av alkohol (7, 9 §);167;1;5;4;13;11;18;33;11;30;20;12;8;1;22;144;1
Olovlig försäljning av teknisk sprit m.m. (8 §);5;- ;- ;- ;2;- ;- ;- ;- ;- ;2;1;- ;- ;1;4;- 
Tobakslagen;150;- ;- ;1;3;- ;1;4;14;46;45;26;10;- ;24;126;- 
Lag om förbud mot vissa hälsofarliga varor (3 § 1 st. och 4 §);54;- ;- ;- ;1;1;3;4;11;18;13;1;2;- ;8;46;- 
Lag om brandfarliga och explosiva varor (6 §, 16 § 1 st, 28 § 1 st, 29 § 2 st, 29 a §);241;7;6;14;11;11;9;33;34;47;37;18;14;- ;21;220;- 
Läkemedelslag (16 kap. 1 §);58;- ;- ;1;- ;3;1;9;11;19;7;4;3;- ;10;48;- 
Lag om handel med läkemedel (9 kap. 1, 1 a §);18;- ;1;- ;- ;1;- ;4;5;1;4;1;1;- ;2;16;- 
Lag om handel med vissa receptfria läkemedel (24 §);4;- ;- ;- ;- ;- ;- ;- ;- ;2;1;- ;1;- ;- ;4;- 
Vapenlagen (9 kap. 1-2 §);6 191;139;141;162;205;250;225;843;968;1 226;730;539;747;16;753;5 432;6
"Vapenbrott; innehav (1 §)";5 187;134;128;147;192;228;202;736;823;1 025;595;398;564;15;620;4 561;6
Av pistol, revolver, kpist;2 603;73;82;84;134;157;141;440;434;449;240;163;198;8;223;2 376;4
ej grovt brott;890;25;25;18;28;29;31;106;125;157;97;83;163;3;86;803;1
grovt brott, synnerligen grovt brott;1 758;48;60;68;109;127;112;347;319;300;148;80;35;5;139;1 616;3
Av jaktvapen;514;1;3;5;3;6;11;18;32;77;66;75;215;2;53;460;1
ej grovt brott;411;1;3;3;- ;1;8;13;18;53;49;62;198;2;38;372;1
grovt brott, synnerligen grovt brott;105;- ;- ;2;3;5;3;5;14;24;18;14;17;- ;15;90;- 
Av annat vapen;2 365;65;49;66;64;77;64;333;416;555;320;180;171;5;359;2 005;1
ej grovt brott;1 927;58;42;51;39;54;46;242;320;477;274;165;157;2;317;1 610;- 
grovt brott, synnerligen grovt brott;471;7;7;17;26;24;18;98;102;87;52;16;14;3;46;424;1
"Vapenbrott; överlåtelse, utlåning av skjutvapen (1 §)";54;- ;- ;- ;- ;1;- ;- ;2;8;9;14;20;- ;6;48;- 
ej grovt brott;48;- ;- ;- ;- ;- ;- ;- ;1;5;8;14;20;- ;6;42;- 
grovt brott, synnerligen grovt brott;6;- ;- ;- ;- ;1;- ;- ;1;3;1;- ;- ;- ;- ;6;- 
Annat brott mot Vapenlagen (1 b, 2 §);1 336;6;14;21;22;33;43;162;220;271;181;162;200;1;160;1 176;- 
Lagen om förbud betr. knivar m.m. (1, 2, 4 §);8 916;228;235;196;301;344;339;1 280;1 390;2 211;1 292;775;310;15;825;8 091;- 
Jaktlagen (43, 44, 46 §);137;- ;- ;1;- ;3;- ;3;12;25;22;37;31;3;6;130;1
Illegal rovdjursjakt (varg, björn, järv, lodjur och kungsörn);22;- ;- ;1;- ;- ;- ;- ;4;2;5;8;1;1;- ;21;1
Övriga brott mot jaktlagen;117;- ;- ;- ;- ;3;- ;3;9;23;17;30;30;2;6;111;- 
Fiskelagen (37, 38, 40 §);250;1;1;- ;6;4;2;20;24;57;51;36;47;1;9;241;- 
Lagen om åtgärder mot förorening från fartyg;15;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;5;6;3;- ;13;2
Arbetsmiljölagen (8 kap. 1,  2 §);5;- ;- ;- ;- ;- ;- ;- ;1;- ;1;1;- ;2;2;1;2
Utlänningslagen (20 kap. 2, 4-9 §);813;1;1;3;5;11;6;59;107;282;199;98;33;8;178;631;4
Uppsåtligen uppehåller sig i Sverige trots beslut om utvisning (2 §);70;- ;- ;- ;1;2;2;4;13;28;13;4;3;- ;4;66;- 
Har utlänning anställd som inte har rätt att vistas i Sverige, eller saknar arbetstillstånd (5 §);451;- ;- ;- ;2;3;1;21;36;153;131;79;21;4;93;357;1
Hjälp till utlänning att olovligen uppehålla sig i Sverige, annan EU-stat eller Schengenområdet (7 §);5;- ;- ;- ;- ;- ;- ;- ;- ;3;1;- ;1;- ;2;3;- 
Människosmuggling (8 §) ;140;1;- ;2;2;4;3;13;26;46;33;7;1;2;25;115;- 
Organiserande av människosmuggling (9 §);6;- ;- ;- ;- ;- ;- ;3;- ;1;1;1;- ;- ;1;5;- 
Övriga brott mot utlänningslagen (4, 6 §);152;- ;1;1;- ;2;- ;21;33;55;22;8;7;2;54;95;3
Lagen om kontaktförbud;737;2;6;3;3;8;8;52;95;241;157;100;62;- ;75;662;- 
Överträdelse av kontaktförbud med elektronisk övervakning (24 §);4;- ;- ;- ;- ;- ;- ;1;- ;1;2;- ;- ;- ;- ;4;- 
Överträdelse av kontaktförbud utan elektronisk övervakning (24 §);736;2;6;3;3;8;8;52;95;241;157;100;61;- ;75;661;- 
Mot barn under 18 år;31;- ;4;1;2;1;- ;3;1;7;6;4;2;- ;4;27;- 
Mot flicka under 18 år;22;- ;3;1;2;1;- ;3;- ;5;3;3;1;- ;3;19;- 
Mot pojke under 18 år;10;- ;1;- ;- ;- ;- ;- ;1;2;4;1;1;- ;2;8;- 
Mot kvinna 18 år eller äldre;638;1;1;2;1;4;6;45;82;222;141;84;49;- ;40;598;- 
Närstående genom parrelation;504;- ;1;2;1;3;3;33;63;182;127;63;26;- ;12;492;- 
Närstående genom släktskap/familj;56;- ;- ;- ;- ;- ;1;2;5;26;9;12;1;- ;10;46;- 
Annan sorts relation eller bekantskap;144;1;- ;- ;- ;3;3;11;22;42;22;17;23;- ;21;123;- 
Obekanta;33;1;- ;- ;- ;- ;- ;3;2;9;4;4;10;- ;11;22;- 
Mot man 18 år eller äldre;115;- ;1;- ;- ;2;1;6;15;31;22;22;15;- ;45;70;- 
Närstående genom parrelation;33;- ;- ;- ;- ;1;- ;2;5;10;9;3;3;- ;27;6;- 
Närstående genom släktskap/familj;22;- ;- ;- ;- ;- ;- ;- ;4;7;3;7;1;- ;5;17;- 
Annan sorts relation eller bekantskap;52;- ;- ;- ;- ;2;1;3;3;13;11;11;8;- ;19;33;- 
Obekanta;27;- ;1;- ;- ;- ;- ;2;4;8;3;5;4;- ;4;23;- 
Hindrande av elektronisk övervakning (25 §);6;- ;- ;- ;- ;- ;- ;- ;- ;1;3;- ;2;- ;- ;6;- 
Lagen om tillträdesförbud vid idrottsarrangemang;8;- ;- ;- ;- ;- ;- ;- ;2;4;- ;2;- ;- ;- ;8;- 
Kulturmiljölagen (2 kap. 21, 21 a §) ;45;1;2;- ;- ;- ;- ;- ;- ;3;7;12;8;12;7;28;10
Spellag (19 kap.);21;- ;- ;- ;- ;1;- ;- ;3;8;4;4;1;- ;1;20;- 
Olovlig spelverksamhet inkl. grovt (1, 3 §);16;- ;- ;- ;- ;1;- ;- ;1;5;4;4;1;- ;1;15;- 
Främjande av olovligt spel inkl. grovt (2, 3 §);4;- ;- ;- ;- ;- ;- ;- ;- ;3;- ;1;- ;- ;- ;4;- 
Spelfusk inkl. grovt (4, 5 §);4;- ;- ;- ;- ;- ;- ;- ;2;2;- ;- ;- ;- ;- ;4;- 
Lagen om förbud mot vissa dopningmedel (3 §);1 949;3;5;19;43;63;72;330;424;643;270;54;21;2;147;1 800;2
Överlåtelse inkl. grov (2 § 4, 5 p., 3, 3 a §);57;- ;- ;1;1;3;1;3;5;19;18;3;2;1;7;49;1
Innehav inkl. grov (2 § 6 p., 3, 3 a §);1 482;2;3;7;27;41;46;241;331;514;207;44;18;1;133;1 348;1
Eget bruk inkl. grov (2 § 7 p., 3, 3 a §);771;1;2;13;23;27;32;145;168;242;99;17;2;- ;18;753;- 
Framställning inkl. grov (2 § 3 p., 3, 3 a §);- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
Personuppgiftslagen (49 §);5;- ;- ;- ;- ;- ;- ;- ;- ;3;1;1;- ;- ;2;3;- 
Folkbokföringslagen (42 §);2 188;- ;- ;7;22;47;85;323;338;599;382;260;125;- ;512;1 676;- 
Övriga trafikbrott (ej TBL) med fängelse i straffskalan;79;- ;- ;- ;- ;1;- ;1;8;24;18;14;4;9;10;63;6
Sjölagen (20 kap.);172;- ;2;2;- ;1;2;13;12;20;39;53;26;2;5;166;1
Sjöfylleri (4, 5 §);125;- ;- ;2;- ;- ;1;11;8;16;31;40;16;- ;2;123;- 
Övriga brott mot sjölagen (1, 2, 6-9 §);61;- ;2;- ;- ;1;1;4;5;4;11;19;12;2;3;57;1
Lag om straff för folkmord, brott mot mänskligheten och krigsförbrytelser;19;- ;- ;- ;1;2;- ;7;2;1;4;2;- ;- ;7;12;- 
Folkmord (1 §);2;- ;- ;- ;- ;- ;- ;1;1;- ;- ;- ;- ;- ;1;1;- 
Brott mot mänskligheten (2 §);1;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;- ;- ;1;- ;- 
Krigsförbrytelse inkl. grov (4-11 §);12;- ;- ;- ;1;2;- ;4;2;1;1;1;- ;- ;7;5;- 
Övriga brott mot lag om straff för folkmord, brott mot mänskligheten och krigsförbrytelser;3;- ;- ;- ;- ;- ;- ;2;- ;- ;1;- ;- ;- ;- ;3;- 
Lagen med förbud mot könsstympning av kvinnor;27;- ;- ;- ;- ;- ;- ;- ;4;14;5;2;1;1;15;11;1
Lag om straff för terroristbrott (2, 4 §);6;- ;- ;- ;- ;- ;- ;- ;2;2;2;- ;- ;- ;2;4;- 
Lag om straff för offentlig uppmaning, rekrytering och utbildning avseende terroristbrott och annan särskild allvarlig brottslighet (2 b-5 b §);2;- ;- ;- ;1;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;2;- 
Lag om vissa internationella sanktioner (8, 15 §);1;- ;- ;- ;- ;- ;- ;- ;- ;- ;1;- ;- ;- ;- ;1;- 
Ordningslagen (2 kap. 29 §, 5 kap. 3-5 §§);175;1;1;1;8;9;5;31;34;37;21;15;9;3;19;153;3
Brott mot upphovsrätten (Lag om upphovsrätt till litterära och konstnärliga verk m.m.);23;- ;- ;- ;1;- ;- ;2;3;5;5;5;2;- ;3;20;- 
Brott mot det industriella rättsskyddet (Patentlagen, lag om företagsnamn m.m.);24;- ;- ;- ;- ;- ;- ;2;1;11;4;2;4;- ;3;21;- 
Övriga författningar;1 664;22;18;26;39;27;31;127;170;351;316;273;237;27;350;1 290;24
